study,paper_section,trial_id,arm,cli,cli_version,model,effort,started_at,finished_at,kickoff_sha256,condition_markers,visible_pass,visible_total,heldout_pass,heldout_total,exported_handlers,batch_intervals,max_new_files_one_interval,untested_contract_attempts,out_of_tree_access,stall,heartbeat_count,snapshot_sha256
sealed-sonnet,"V-A sealed study, Sonnet boundary",B-rep5,B,claude-code,2.1.247 (Claude Code),claude-sonnet-5,,2026-09-23T17:29:57Z,2026-09-23T17:37:03Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,lock,20,20,0,12,20,2,2,0,0,,24,eeaa5cf2c3f8689d71c2ab6b160bea710d4bd73a5f38fca6ccfd08251c22b0b1
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,ctrl-rep1,,codex,codex-cli,gpt-6-astra,low,2026-09-23T05:37:06Z,,bef053ec7a2ef177f0956a2dbeac9d1b96c7164dd98af0038e8674ed7676512a,enforce,1,1,0,12,,,,0,,True,10,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,ctrl-rep2,,codex,codex-cli,gpt-6-astra,low,2026-09-22T23:15:00Z,,bef053ec7a2ef177f0956a2dbeac9d1b96c7164dd98af0038e8674ed7676512a,enforce,1,1,0,12,,,,0,,True,8,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,ctrl-rep3,,codex,codex-cli,gpt-6-astra,low,2026-09-22T23:08:51Z,,bef053ec7a2ef177f0956a2dbeac9d1b96c7164dd98af0038e8674ed7676512a,enforce,1,1,0,12,,,,0,,True,7,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,ctrl-rep4,,codex,codex-cli,gpt-6-astra,low,2026-09-23T05:35:01Z,,bef053ec7a2ef177f0956a2dbeac9d1b96c7164dd98af0038e8674ed7676512a,enforce,1,1,0,12,,,,0,,True,8,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,ctrl-rep5,,codex,codex-cli,gpt-6-astra,low,2026-09-22T23:06:47Z,,bef053ec7a2ef177f0956a2dbeac9d1b96c7164dd98af0038e8674ed7676512a,enforce,1,1,0,12,,,,0,,True,8,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,g55orig-rep1,,codex,codex-cli,gpt-5.5,low,2026-09-23T05:38:08Z,,ef0de86ef2c9178b003fe3a4d7a0a8b3459bbb5905f9cc44ba28d389928bebb5,enforce,20,20,0,7,,,,0,,False,50,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,g55orig-rep2,,codex,codex-cli,gpt-5.5,low,2026-09-23T13:12:38Z,,ef0de86ef2c9178b003fe3a4d7a0a8b3459bbb5905f9cc44ba28d389928bebb5,enforce,20,20,0,7,,,,0,,,68,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,g55orig-rep3,,codex,codex-cli,gpt-5.5,low,2026-09-23T12:58:27Z,,ef0de86ef2c9178b003fe3a4d7a0a8b3459bbb5905f9cc44ba28d389928bebb5,enforce,20,20,5,7,,,,0,,False,76,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,g55rev-rep1,,codex,codex-cli,gpt-5.5,low,2026-09-23T13:10:16Z,,c44ce57a9546952ef02568d88f7a0ced5bba4cd14c336d959801a1b7a06b1496,enforce,20,20,0,7,,,,0,,False,26,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,g55rev-rep2,,codex,codex-cli,gpt-5.5,low,2026-09-23T13:06:33Z,,c44ce57a9546952ef02568d88f7a0ced5bba4cd14c336d959801a1b7a06b1496,enforce,20,20,0,7,,,,0,,False,51,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,g55rev-rep3,,codex,codex-cli,gpt-5.5,low,2026-09-23T13:03:50Z,,c44ce57a9546952ef02568d88f7a0ced5bba4cd14c336d959801a1b7a06b1496,enforce,20,20,7,7,,,,0,,False,30,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,orig-rep1,,codex,codex-cli,gpt-6-astra,low,2026-09-23T05:36:04Z,,ef0de86ef2c9178b003fe3a4d7a0a8b3459bbb5905f9cc44ba28d389928bebb5,enforce,1,1,0,12,,,,0,,True,8,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,orig-rep2,,codex,codex-cli,gpt-6-astra,low,2026-09-22T23:07:49Z,,ef0de86ef2c9178b003fe3a4d7a0a8b3459bbb5905f9cc44ba28d389928bebb5,enforce,1,1,0,12,,,,0,,True,8,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,orig-rep3,,codex,codex-cli,gpt-6-astra,low,2026-09-23T05:30:17Z,,ef0de86ef2c9178b003fe3a4d7a0a8b3459bbb5905f9cc44ba28d389928bebb5,enforce,1,1,0,12,,,,0,,True,8,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,orig-rep4,,codex,codex-cli,gpt-6-astra,low,2026-09-22T23:10:35Z,,ef0de86ef2c9178b003fe3a4d7a0a8b3459bbb5905f9cc44ba28d389928bebb5,enforce,1,1,0,12,,,,0,,True,7,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,orig-rep5,,codex,codex-cli,gpt-6-astra,low,2026-09-22T23:09:33Z,,ef0de86ef2c9178b003fe3a4d7a0a8b3459bbb5905f9cc44ba28d389928bebb5,enforce,1,1,0,12,,,,0,,True,8,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,orig-ultra-rep1,,codex,codex-cli,gpt-6-astra,ultra,2026-09-23T18:19:54Z,,ef0de86ef2c9178b003fe3a4d7a0a8b3459bbb5905f9cc44ba28d389928bebb5,enforce,1,1,0,12,,,,0,,,22,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,orig-ultra-rep2,,codex,codex-cli,gpt-6-astra,ultra,2026-09-23T18:08:08Z,,ef0de86ef2c9178b003fe3a4d7a0a8b3459bbb5905f9cc44ba28d389928bebb5,enforce,1,1,0,12,,,,0,,,27,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,rev-rep1,,codex,codex-cli,gpt-6-astra,low,2026-09-23T05:26:34Z,,c44ce57a9546952ef02568d88f7a0ced5bba4cd14c336d959801a1b7a06b1496,enforce,20,20,0,7,,,,0,,False,26,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,rev-rep2,,codex,codex-cli,gpt-6-astra,low,2026-09-22T23:16:02Z,,c44ce57a9546952ef02568d88f7a0ced5bba4cd14c336d959801a1b7a06b1496,enforce,20,20,0,7,,,,0,,False,48,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,rev-rep3,,codex,codex-cli,gpt-6-astra,low,2026-09-23T05:22:51Z,,c44ce57a9546952ef02568d88f7a0ced5bba4cd14c336d959801a1b7a06b1496,enforce,20,20,0,7,,,,0,,False,45,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,rev-rep4,,codex,codex-cli,gpt-6-astra,low,2026-09-23T05:31:19Z,,c44ce57a9546952ef02568d88f7a0ced5bba4cd14c336d959801a1b7a06b1496,enforce,20,20,0,7,,,,0,,False,46,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,rev-rep5,,codex,codex-cli,gpt-6-astra,low,2026-09-22T23:11:38Z,,c44ce57a9546952ef02568d88f7a0ced5bba4cd14c336d959801a1b7a06b1496,enforce,20,20,0,7,,,,0,,False,26,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,rev-ultra-rep1,,codex,codex-cli,gpt-6-astra,ultra,2026-09-24T00:07:01Z,,c44ce57a9546952ef02568d88f7a0ced5bba4cd14c336d959801a1b7a06b1496,enforce,20,20,0,7,,,,0,,,61,
astra-wording,V-B / App. C randomized wording test (E5) + effort follow-up,rev-ultra-rep2,,codex,codex-cli,gpt-6-astra,ultra,2026-09-24T00:15:05Z,,c44ce57a9546952ef02568d88f7a0ced5bba4cd14c336d959801a1b7a06b1496,enforce,20,20,0,7,,,,0,,,65,
